Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.5,1.0,0.3675074024071651
75% Corpus,10,0.5,symmetric,0.35536450604029896
75% Corpus,10,0.75,0.25,0.36305738991610703
75% Corpus,10,0.75,0.5,0.3753096016850612
75% Corpus,10,0.75,0.75,0.37722392600371746
75% Corpus,10,0.75,1.0,0.3777269523135157
75% Corpus,10,0.75,symmetric,0.35866394033989063
75% Corpus,10,1.0,0.25,0.36602559112338023
75% Corpus,10,1.0,0.5,0.3742965195728673
75% Corpus,10,1.0,0.75,0.3712397846571571
75% Corpus,10,1.0,1.0,0.3732688086548054
75% Corpus,10,1.0,symmetric,0.35284867620509747
75% Corpus,10,symmetric,0.25,0.38866137866593237
75% Corpus,10,symmetric,0.5,0.3883428942527619
75% Corpus,10,symmetric,0.75,0.39431927197074423
75% Corpus,10,symmetric,1.0,0.3910258064314507
75% Corpus,10,symmetric,symmetric,0.38586624915686507
75% Corpus,10,asymmetric,0.25,0.36133273246903674
75% Corpus,10,asymmetric,0.5,0.3809911790667039
75% Corpus,10,asymmetric,0.75,0.38322730164378144
75% Corpus,10,asymmetric,1.0,0.37922255259538906
75% Corpus,10,asymmetric,symmetric,0.37086300860841315
75% Corpus,11,0.25,0.25,0.3466364118158139
75% Corpus,11,0.25,0.5,0.3709086188730041
75% Corpus,11,0.25,0.75,0.3606065030039299
75% Corpus,11,0.25,1.0,0.3729139923828679
75% Corpus,11,0.25,symmetric,0.3562863120984323
75% Corpus,11,0.5,0.25,0.34121971376683835
75% Corpus,11,0.5,0.5,0.3447507293645825
75% Corpus,11,0.5,0.75,0.34887614610241297
75% Corpus,11,0.5,1.0,0.3527245895847013
75% Corpus,11,0.5,symmetric,0.3431968570519854
75% Corpus,11,0.75,0.25,0.3595430831358073
75% Corpus,11,0.75,0.5,0.3675609463010732
75% Corpus,11,0.75,0.75,0.3764268200293779
75% Corpus,11,0.75,1.0,0.3681763332499712
75% Corpus,11,0.75,symmetric,0.3493239135810482
75% Corpus,11,1.0,0.25,0.35344123702366015
75% Corpus,11,1.0,0.5,0.3602245546267728
75% Corpus,11,1.0,0.75,0.36470530712764354
75% Corpus,11,1.0,1.0,0.36803347222931354
75% Corpus,11,1.0,symmetric,0.3497129052420596
75% Corpus,11,symmetric,0.25,0.38391307163608274
75% Corpus,11,symmetric,0.5,0.37686922330859035
75% Corpus,11,symmetric,0.75,0.39431762500110995
75% Corpus,11,symmetric,1.0,0.3902573247752528
